id,marca,nome,categoria,tipo_pele,preocupacao,modo_uso,ingrediente_principal,fps,tamanho_ml,preco_brl,avaliacao,num_avaliacoes,fonte,descricao,imagem_url,link_produto,slug
11,Vichy,Mineral 89,Sérum,Todos os tipos,Hidratação;Fotoenvelhecimento,Manhã e Noite,Ácido Hialurônico,,50,,,,Época Cosméticos,Sérum fortificante e reparador diário com água vulcânica.,https://placehold.co/400x400?text=mineral+89,https://www.epocacosmeticos.com.br/serum-fortalecedor-vichy-mineral-89-probiotic-fractions/p,vichy-mineral-89
12,Vichy,Normaderm Phytosolution,Hidratante,Oleosa;Mista,Acne;Oleosidade,Manhã e Noite,Ácido Salicílico,,50,,,,Cosmetis,Hidratante anti-imperfeições para peles oleosas.,https://placehold.co/400x400?text=normaderm+phytosolution,https://www.cosmetis.com.br/vichy-normaderm-phytosolution-cuidado-corretor-dupla-ac-o-50ml.html,vichy-normaderm-phytosolution
13,Vichy,Liftactiv Vitamina C,Sérum,Todos os tipos,Manchas;Fotoenvelhecimento,Manhã,Vitamina C,,20,,,,Beleza na Web,Sérum antioxidante iluminador com vitamina C pura.,https://placehold.co/400x400?text=liftactiv+vitamina+c,https://www.belezanaweb.com.br/vichy-liftactiv-vitamina-c-serum-facial-20ml/,vichy-liftactiv-vitamina-c
14,Vichy,Liftactiv Colágeno Specialist,Hidratante,Todos os tipos,Rugas e Linhas Finas;Firmeza,Manhã e Noite,Colágeno,,50,,,,Época Cosméticos,Creme antirrugas e firmeza para rosto e pescoço.,https://placehold.co/400x400?text=liftactiv+colageno+specialist,https://www.epocacosmeticos.com.br/creme-facial-vichy-liftactiv-colageno-specialist/p,vichy-liftactiv-colageno-specialist
15,Vichy,Capital Soleil,Protetor Solar,Todos os tipos,Fotoenvelhecimento,Manhã,Filtro UVA/UVB,60,40,,,,Época Cosméticos,Protetor solar toque seco para o rosto.,https://placehold.co/400x400?text=capital+soleil,https://www.epocacosmeticos.com.br/protetor-solar-facial-vichy-capital-soleil-purify-sem-cor/p,vichy-capital-soleil
16,Vichy,Aqualia Thermal,Hidratante,Seca;Normal,Hidratação,Manhã e Noite,Ácido Hialurônico,,50,,,,Amazon.com.br,Hidratante reidratante de 48h para peles desidratadas.,https://placehold.co/400x400?text=aqualia+thermal,https://www.amazon.com.br/Vichy-Aqualia-Thermal-Creme-Gel-Hidratante/dp/B07CH2K1JS,vichy-aqualia-thermal
17,Vichy,Normaderm Phytosolution Esfoliante,Esfoliante,Oleosa;Mista,Textura Irregular;Acne,Noite,Ácido Salicílico,,75,,,,,Esfoliante para peles com tendência a acne.,https://placehold.co/400x400?text=normaderm+phytosolution+esfoliante,,vichy-normaderm-phytosolution-esfoliante
18,Vichy,Mineral Masks Purificante,Máscara Facial,Oleosa;Mista,Oleosidade;Poros Dilatados,Noite,Argila,,75,,,,site oficial Vichy Brasil,Máscara de argila purificante.,https://placehold.co/400x400?text=mineral+masks+purificante,https://www.vichy.com.br/todos-os-produtos/skincare/face-masks/mascara-mineral-argila-purificante,vichy-mineral-masks-purificante
19,Vichy,Liftactiv Cuidado Olhos,Contorno de Olhos,Madura,Rugas e Linhas Finas;Olheiras,Manhã e Noite,Cafeína,,15,,,,Época Cosméticos,Creme antirrugas para o contorno dos olhos.,https://placehold.co/400x400?text=liftactiv+cuidado+olhos,https://www.epocacosmeticos.com.br/rejuvenescedor-para-contorno-dos-olhos-vichy-liftactiv-supreme/p,vichy-liftactiv-cuidado-olhos
20,Vichy,Normaderm Tônico,Tônico,Oleosa;Mista,Acne;Oleosidade,Manhã e Noite,Ácido Salicílico,,200,,,,Época Cosméticos,Tônico adstringente para peles com tendência a acne.,https://placehold.co/400x400?text=normaderm+tonico,https://www.epocacosmeticos.com.br/normaderm-tonico-adstringente-vichy-tonico-facial/p,vichy-normaderm-tonico
21,Eucerin,DermoPure Gel de Limpeza,Limpeza,Oleosa;Mista,Acne;Oleosidade,Manhã e Noite,Ácido Salicílico,,200,,,,Época Cosméticos,Gel de limpeza para peles oleosas com tendência à acne.,https://placehold.co/400x400?text=dermopure+gel+de+limpeza,https://www.epocacosmeticos.com.br/gel-de-limpeza-facial-eucerin-dermopure/p,eucerin-dermopure-gel-de-limpeza
22,Eucerin,DermoPure Oil Control,Protetor Solar,Oleosa;Mista,Acne;Oleosidade;Fotoenvelhecimento,Manhã,Filtro Solar,30,50,,,,Época Cosméticos,Protetor solar com efeito matificante para peles oleosas.,https://placehold.co/400x400?text=dermopure+oil+control,https://www.epocacosmeticos.com.br/creme-facial-eucerin-dermo-pure-oil-control/p,eucerin-dermopure-oil-control
23,Eucerin,Hyaluron-Filler Sérum,Sérum,Todos os tipos,Rugas e Linhas Finas,Noite,Ácido Hialurônico,,30,,,,Época Cosméticos,Sérum antirrugas de preenchimento imediato.,https://placehold.co/400x400?text=hyaluron+filler+serum,https://www.epocacosmeticos.com.br/serum-epigenetic-facial-eucerin-hyaluron-filler/p,eucerin-hyaluron-filler-serum
24,Eucerin,UreaRepair Plus Loção,Hidratante,Seca,Hidratação,Manhã e Noite,Ureia,,250,,,,Época Cosméticos,Loção hidratante para peles muito secas.,https://placehold.co/400x400?text=urearepair+plus+locao,https://www.epocacosmeticos.com.br/locao-hidratante-intensiva-eucerin-ureia-repair-plus/p,eucerin-urearepair-plus-locao
25,Eucerin,Even Brighter Sérum,Sérum,Todos os tipos,Manchas,Manhã e Noite,Vitamina C,,30,,,,,Sérum clareador de manchas escuras.,https://placehold.co/400x400?text=even+brighter+serum,,eucerin-even-brighter-serum
26,Eucerin,Hyaluron-Filler Olhos,Contorno de Olhos,Madura,Rugas e Linhas Finas;Olheiras,Manhã e Noite,Ácido Hialurônico,,15,,,,Época Cosméticos,Creme de preenchimento para o contorno dos olhos.,https://placehold.co/400x400?text=hyaluron+filler+olhos,https://www.epocacosmeticos.com.br/hyaluron-filler-olhos-eucerin-creme-anti-rugas/p,eucerin-hyaluron-filler-olhos
27,Bioderma,Sensibio H2O,Água Micelar,Sensível,Sensibilidade/Rosácea,Manhã e Noite,Água Micelar,,500,,,,Época Cosméticos,Água micelar de limpeza e demaquilante para peles sensíveis.,https://placehold.co/400x400?text=sensibio+h2o,https://www.epocacosmeticos.com.br/sensibio-h2o-agua-micelar-calmante-bioderma/p,bioderma-sensibio-h2o
28,Bioderma,Sébium H2O,Água Micelar,Oleosa;Mista,Acne;Oleosidade,Manhã e Noite,Água Micelar,,500,,,,Época Cosméticos,Água micelar para peles oleosas e mistas.,https://placehold.co/400x400?text=sebium+h2o,https://www.epocacosmeticos.com.br/sebium-h2o-agua-micelar-para-pele-oleosa-bioderma/p,bioderma-sebium-h2o
29,Bioderma,Hydrabio H2O,Água Micelar,Seca;Normal,Hidratação,Manhã e Noite,Água Micelar,,500,,,,Época Cosméticos,Água micelar hidratante para peles desidratadas.,https://placehold.co/400x400?text=hydrabio+h2o,https://www.epocacosmeticos.com.br/agua-micelar-fortalecedora-e-hidratante-bioderma-hydrabio-h2o/p,bioderma-hydrabio-h2o
30,Bioderma,Atoderm Creme,Hidratante,Seca;Sensível,Hidratação;Sensibilidade/Rosácea,Manhã e Noite,Manteiga de Karité,,200,,,,Época Cosméticos,Creme nutritivo para peles secas a muito secas.,https://placehold.co/400x400?text=atoderm+creme,https://www.epocacosmeticos.com.br/creme-hidratante-bioderma-atoderm-creme-ultra/p,bioderma-atoderm-creme
31,Bioderma,Photoderm Max,Protetor Solar,Todos os tipos,Fotoenvelhecimento,Manhã,Filtro Solar,50,40,,,,Época Cosméticos,Protetor solar de alta proteção para peles sensíveis.,https://placehold.co/400x400?text=photoderm+max,https://www.epocacosmeticos.com.br/protetor-solar-bioderma-photoderm-max-aquafluide-fps50-/p,bioderma-photoderm-max
32,Bioderma,Sébium Tonique,Tônico,Oleosa;Mista,Oleosidade;Poros Dilatados,Manhã e Noite,Zinco,,200,,,,,Tônico purificante para peles oleosas.,https://placehold.co/400x400?text=sebium+tonique,,bioderma-sebium-tonique
33,Bioderma,Sensibio Máscara Calmante,Máscara Facial,Sensível,Sensibilidade/Rosácea,Noite,Água Termal,,75,,,,Amazon,Máscara calmante para peles sensíveis.,https://placehold.co/400x400?text=sensibio+mascara+calmante,https://www.amazon.com/-/es/Bioderma-Sensibio-hidratante-Mascarilla-sensibles/dp/B003GEBH2C,bioderma-sensibio-mascara-calmante
34,CeraVe,Creme Hidratante Facial,Hidratante,Seca;Normal,Hidratação,Manhã e Noite,Ceramidas,,45,,,,Época Cosméticos,Hidratante facial com ceramidas e ácido hialurônico.,https://placehold.co/400x400?text=creme+hidratante+facial,https://www.epocacosmeticos.com.br/locao-facial-hidratante-cerave/p,cerave-creme-hidratante-facial
35,CeraVe,Gel de Limpeza Facial,Limpeza,Oleosa;Mista,Oleosidade;Acne,Manhã e Noite,Ceramidas,,236,,,,Época Cosméticos,Gel de limpeza para peles normais a oleosas.,https://placehold.co/400x400?text=gel+de+limpeza+facial,https://www.epocacosmeticos.com.br/gel-de-limpeza-facial-cerave/p,cerave-gel-de-limpeza-facial
36,CeraVe,Loção Hidratante Facial SA,Hidratante,Oleosa;Mista,Textura Irregular;Poros Dilatados,Manhã e Noite,Ácido Salicílico,,56,,,,,Loção hidratante esfoliante com ácido salicílico.,https://placehold.co/400x400?text=locao+hidratante+facial+sa,,cerave-locao-hidratante-facial-sa
37,CeraVe,Sérum de Vitamina C,Sérum,Todos os tipos,Manchas;Fotoenvelhecimento,Manhã,Vitamina C,,30,,,,Aqui Cosmético,Sérum antioxidante com vitamina C pura e ácido hialurônico.,https://placehold.co/400x400?text=serum+de+vitamina+c,https://www.aquicosmetico.com.br/produtos/serum-vitamina-c-renovador-da-pele-skin-renewing-vitamin-c-serum-cerave-30ml/,cerave-serum-de-vitamina-c
38,CeraVe,Loção Hidratante com FPS 60,Protetor Solar,Todos os tipos,Fotoenvelhecimento,Manhã,Filtro Solar,60,50,,,,,Hidratante facial com proteção solar diária.,https://placehold.co/400x400?text=locao+hidratante+com+fps+60,,cerave-locao-hidratante-com-fps-60
39,CeraVe,Creme para Área dos Olhos,Contorno de Olhos,Todos os tipos,Olheiras;Rugas e Linhas Finas,Manhã e Noite,Ceramidas,,14,,,,Época Cosméticos,Creme hidratante para o contorno dos olhos.,https://placehold.co/400x400?text=creme+para+area+dos+olhos,https://www.epocacosmeticos.com.br/cerave-creme-reparador-para-olhos/p,cerave-creme-para-area-dos-olhos
40,CeraVe,Sabonete Líquido Hidratante Facial,Limpeza,Seca;Sensível,Hidratação;Sensibilidade/Rosácea,Manhã e Noite,Ceramidas,,236,,,,Época Cosméticos,Sabonete líquido de limpeza suave para peles secas e sensíveis.,https://placehold.co/400x400?text=sabonete+liquido+hidratante+facial,https://www.epocacosmeticos.com.br/locao-de-limpeza-hidratante-cerave/p,cerave-sabonete-liquido-hidratante-facial
41,Neutrogena,Hydro Boost Gel-Creme,Hidratante,Oleosa;Mista;Normal,Hidratação,Manhã e Noite,Ácido Hialurônico,,50,,,,Cosmetis,Gel-creme hidratante de rápida absorção.,https://placehold.co/400x400?text=hydro+boost+gel+creme,https://www.cosmetis.com.br/neutrogena-hydro-boost-gel-creme-50ml.html,neutrogena-hydro-boost-gel-creme
42,Neutrogena,Hydro Boost Água-Gel,Hidratante,Oleosa;Mista,Hidratação,Manhã e Noite,Ácido Hialurônico,,50,,,,Amazon.com.br,Hidratante em gel leve para peles oleosas.,https://placehold.co/400x400?text=hydro+boost+agua+gel,https://www.amazon.com.br/Hidratante-Facial-Neutrogena-Hydro-Boost/dp/B06XQ27YLL,neutrogena-hydro-boost-agua-gel
43,Neutrogena,Facial Oil-Free Acne Wash,Limpeza,Oleosa,Acne;Oleosidade,Manhã e Noite,Ácido Salicílico,,175,,,,Aqui Cosmético,Gel de limpeza para controle de oleosidade e acne.,https://placehold.co/400x400?text=facial+oil+free+acne+wash,https://www.aquicosmetico.com.br/produtos/cleanser-oil-free-acne-wash-cream-cleanser-neutrogena-200ml/,neutrogena-facial-oil-free-acne-wash
44,Neutrogena,Visibly Clear Pontos Negros,Limpeza,Oleosa;Mista,Poros Dilatados;Oleosidade,Manhã e Noite,Ácido Salicílico,,150,,,,,Gel de limpeza para poros dilatados e cravos.,https://placehold.co/400x400?text=visibly+clear+pontos+negros,,neutrogena-visibly-clear-pontos-negros
45,Neutrogena,Sun Fresh,Protetor Solar,Todos os tipos,Fotoenvelhecimento,Manhã,Filtro Solar,30,40,,,,Amazon.com.br,Protetor solar toque seco de rápida absorção.,https://placehold.co/400x400?text=sun+fresh,https://www.amazon.com.br/Novo-Neutrogena-Sun-Fresh-Facial/dp/B08NVGMYG8,neutrogena-sun-fresh
46,Neutrogena,Esfoliante Facial Deep Clean,Esfoliante,Normal;Mista,Textura Irregular;Poros Dilatados,Noite,Microesferas,,150,,,,Época Cosméticos,Esfoliante de limpeza profunda.,https://placehold.co/400x400?text=esfoliante+facial+deep+clean,https://www.epocacosmeticos.com.br/deep-clean-energizing-neutrogena-esfoliante-facial/p,neutrogena-esfoliante-facial-deep-clean
47,Nivea,Creme Nivea,Hidratante,Seca,Hidratação,Manhã e Noite,Glicerina,,100,,,,Amazon.com.br,Creme hidratante multiuso clássico.,https://placehold.co/400x400?text=creme+nivea,https://www.amazon.com.br/Creme-Hidratante-Nivea-Lata-400ML/dp/B00DT3QNKQ,nivea-creme-nivea
48,Nivea,Nivea Soft,Hidratante,Normal;Mista,Hidratação,Manhã e Noite,Vitamina E,,100,,,,Amazon.com.br,Creme hidratante leve de rápida absorção.,https://placehold.co/400x400?text=nivea+soft,https://www.amazon.com.br/Creme-Nivea-Hidratante-Soft-Pote/dp/B00XIKWSJA,nivea-nivea-soft
49,Nivea,Q10 Power Antirrugas,Hidratante,Normal;Madura,Rugas e Linhas Finas,Noite,Coenzima Q10,,50,,,,Amazon.com.br,Creme antirrugas noturno com coenzima Q10.,https://placehold.co/400x400?text=q10+power+antirrugas,https://www.amazon.com.br/Creme-Facial-Anti-Idade-Diurno-Nivea/dp/B0006NZJ66,nivea-q10-power-antirrugas
50,L'Oréal Paris,Revitalift Ácido Hialurônico,Sérum,Todos os tipos,Rugas e Linhas Finas;Hidratação,Manhã e Noite,Ácido Hialurônico,,30,,,,Amazon.com.br,Sérum antirrugas com ácido hialurônico puro.,https://placehold.co/400x400?text=revitalift+acido+hialuronico,https://www.amazon.com.br/Revitalift-Hialur%C3%B4nico-Noturno-LOr%C3%A9al-Paris/dp/B07VGF2P6L,loreal-paris-revitalift-acido-hialuronico
51,L'Oréal Paris,Revitalift Creme Antirrugas,Hidratante,Madura;Normal,Rugas e Linhas Finas;Firmeza,Noite,Pró-Retinol,,50,,,,Amazon.com.br,Creme antirrugas com pró-retinol.,https://placehold.co/400x400?text=revitalift+creme+antirrugas,https://www.amazon.com.br/LOr%C3%A9al-Paris-Revitalift-antirrugas-firmador/dp/B000KONYPY,loreal-paris-revitalift-creme-antirrugas
52,L'Oréal Paris,Hyaluron Expert Creme,Hidratante,Todos os tipos,Hidratação,Manhã e Noite,Ácido Hialurônico,,50,,,,,Creme hidratante de reposição de volume.,https://placehold.co/400x400?text=hyaluron+expert+creme,,loreal-paris-hyaluron-expert-creme
53,Sallve,Gel de Limpeza Facial,Limpeza,Oleosa;Mista,Oleosidade;Acne,Manhã e Noite,Ácido Salicílico,,150,,,,site oficial Sallve,Gel de limpeza suave para o dia a dia.,https://placehold.co/400x400?text=gel+de+limpeza+facial,https://www.sallve.com.br/products/limpador-facial,sallve-gel-de-limpeza-facial
54,Sallve,Água Micelar,Água Micelar,Todos os tipos,Hidratação,Manhã e Noite,Água Micelar,,200,,,,site oficial Sallve,Água micelar de limpeza e remoção de maquiagem.,https://placehold.co/400x400?text=agua+micelar,https://www.sallve.com.br/products/agua-micelar,sallve-agua-micelar
55,Sallve,Sérum Vitamina C 10%,Sérum,Todos os tipos,Manchas;Fotoenvelhecimento,Manhã,Vitamina C,,30,,,,site oficial Sallve,Sérum antioxidante e iluminador com vitamina C estabilizada.,https://placehold.co/400x400?text=serum+vitamina+c+10,https://www.sallve.com.br/products/vitamina-c-antioxidante-hidratante,sallve-serum-vitamina-c-10
56,Sallve,Protetor Solar Facial,Protetor Solar,Todos os tipos,Fotoenvelhecimento,Manhã,Filtro Solar,60,50,,,,site oficial Sallve,Protetor solar com toque seco e cor universal.,https://placehold.co/400x400?text=protetor+solar+facial,https://www.sallve.com.br/products/protetor-solar-toque-seco-fps50,sallve-protetor-solar-facial
57,Sallve,Bruma Refrescante,Tônico,Todos os tipos,Hidratação,Manhã e Noite,Extrato de Pepino,,120,,,,,Bruma facial refrescante e calmante.,https://placehold.co/400x400?text=bruma+refrescante,,sallve-bruma-refrescante
58,Sallve,Máscara de Argila Verde,Máscara Facial,Oleosa;Mista,Oleosidade;Poros Dilatados,Noite,Argila Verde,,75,,,,Amazon.com.br,Máscara de argila para controle de oleosidade.,https://placehold.co/400x400?text=mascara+de+argila+verde,https://www.amazon.com.br/M%C3%A1scara-Antiacne-50g-Argila-Salic%C3%ADlico/dp/B0BLZLRHXM,sallve-mascara-de-argila-verde
59,Sallve,Sérum Niacinamida 10%,Sérum,Oleosa;Mista,Oleosidade;Poros Dilatados;Manchas,Noite,Niacinamida,,30,,,,,Sérum para controle de oleosidade e poros.,https://placehold.co/400x400?text=serum+niacinamida+10,,sallve-serum-niacinamida-10
60,Sallve,Máscara Hidratante Calmante,Máscara Facial,Seca;Sensível,Hidratação;Sensibilidade/Rosácea,Noite,Centella Asiática,,75,,,,,Máscara hidratante e calmante.,https://placehold.co/400x400?text=mascara+hidratante+calmante,,sallve-mascara-hidratante-calmante
61,Sallve,Óleo Facial Nutritivo,Óleo Facial,Seca,Hidratação,Noite,Óleo de Rosa Mosqueta,,30,,,,,Óleo facial nutritivo para peles secas.,https://placehold.co/400x400?text=oleo+facial+nutritivo,,sallve-oleo-facial-nutritivo
62,The Ordinary,Niacinamide 10% + Zinc 1%,Sérum,Oleosa;Mista,Oleosidade;Poros Dilatados;Acne,Manhã e Noite,Niacinamida,,30,,,,Sephora Brasil,Sérum de alta concentração para controle de oleosidade.,https://placehold.co/400x400?text=niacinamide+10+plus+zinc+1,https://www.sephora.com.br/serum-facial-iluminador-the-ordinary-niacinamide-10-zinc-1-1122143-1122143.html,the-ordinary-niacinamide-10-plus-zinc-1
63,The Ordinary,Hyaluronic Acid 2% + B5,Sérum,Todos os tipos,Hidratação,Manhã e Noite,Ácido Hialurônico,,30,,,,site oficial The Ordinary Brasil,Sérum hidratante multi-peso de ácido hialurônico.,https://placehold.co/400x400?text=hyaluronic+acid+2+plus+b5,https://theordinary.com/en-br/hyaluronic-acid-2-b5-serum-100637.html,the-ordinary-hyaluronic-acid-2-plus-b5
64,The Ordinary,Retinol 0.5% in Squalane,Sérum,Normal;Madura,Rugas e Linhas Finas;Textura Irregular,Noite,Retinol,,30,,,,site oficial The Ordinary Brasil,Sérum antienvelhecimento com retinol em base de esqualano.,https://placehold.co/400x400?text=retinol+0+5+in+squalane,https://theordinary.com/en-br/retinol-05-in-squalane-serum-100440.html,the-ordinary-retinol-0-5-in-squalane
65,The Ordinary,Peeling Solution AHA 30% + BHA 2%,Esfoliante,Oleosa;Mista,Textura Irregular;Poros Dilatados,Noite,Ácido Glicólico,,30,,,,site oficial The Ordinary Brasil,Esfoliante químico intensivo de uso semanal.,https://placehold.co/400x400?text=peeling+solution+aha+30+plus+bha+2,https://theordinary.com.br/aha-30-bha-2-peeling-solution/,the-ordinary-peeling-solution-aha-30-plus-bha-2
66,The Ordinary,Vitamin C Suspension 23% + HA Spheres 2%,Sérum,Normal;Mista,Manchas;Fotoenvelhecimento,Manhã,Vitamina C,,30,,,,Amazon.com.br,Sérum de altíssima concentração de vitamina C pura.,https://placehold.co/400x400?text=vitamin+c+suspension+23+plus+ha+spheres+2,https://www.amazon.com.br/Ordinary-Vitamina-23-HA-Spheres/dp/B01N9Y5UGE,the-ordinary-vitamin-c-suspension-23-plus-ha-spheres-2
67,The Ordinary,Salicylic Acid 2% Solution,Tônico,Oleosa;Mista,Acne;Poros Dilatados,Noite,Ácido Salicílico,,240,,,,Amazon.com.br,Tônico esfoliante para desobstrução dos poros.,https://placehold.co/400x400?text=salicylic+acid+2+solution,https://www.amazon.com.br/Ordinary-Salicylic-Acid-2-Solution/dp/B076QK5HTT,the-ordinary-salicylic-acid-2-solution
68,Beauty of Joseon,Glow Deep Serum,Sérum,Todos os tipos,Manchas;Textura Irregular,Manhã e Noite,Niacinamida,,30,,,,Sephora Brasil,Sérum iluminador com niacinamida e arroz fermentado.,https://placehold.co/400x400?text=glow+deep+serum,https://www.sephora.com.br/serum-iluminador-beauty-of-joseon-glow-deep-88995480-88995480.html,beauty-of-joseon-glow-deep-serum
69,Beauty of Joseon,Relief Sun Rice + Probiotics,Protetor Solar,Todos os tipos,Fotoenvelhecimento,Manhã,Filtro Solar,50,50,,,,Amazon.com.br,Protetor solar leve com extrato de arroz.,https://placehold.co/400x400?text=relief+sun+rice+plus+probiotics,https://www.amazon.com.br/Relief-Sun-Probiotics-Beauty-Joseon/dp/B0B5PJ41ZT,beauty-of-joseon-relief-sun-rice-plus-probiotics
70,Beauty of Joseon,Dynasty Cream,Hidratante,Seca;Madura,Rugas e Linhas Finas;Hidratação,Noite,Ginseng,,50,,,,Sephora Brasil,Creme nutritivo antienvelhecimento com ginseng e óleo de camélia.,https://placehold.co/400x400?text=dynasty+cream,https://www.sephora.com.br/creme-facial-beauty-of-joseon-dynasty-88995479-88995479.html,beauty-of-joseon-dynasty-cream
71,Beauty of Joseon,Ginseng Essence Water,Tônico,Todos os tipos,Hidratação,Manhã e Noite,Ginseng,,150,,,,Sephora Brasil,Tônico hidratante e revitalizante.,https://placehold.co/400x400?text=ginseng+essence+water,https://www.sephora.com.br/essencia-facial-beauty-of-joseon-ginseng-9090761487-9090761487.html,beauty-of-joseon-ginseng-essence-water
72,COSRX,Advanced Snail 96 Mucin Power Essence,Sérum,Todos os tipos,Hidratação;Textura Irregular,Manhã e Noite,Mucina de Caracol,,100,,,,Amazon.com.br,Essência hidratante e reparadora com mucina de caracol.,https://placehold.co/400x400?text=advanced+snail+96+mucin+power+essence,https://www.amazon.com.br/Anti-idade-Cosrx-Advanced-Snail-Essence/dp/B00PBX3L7K,cosrx-advanced-snail-96-mucin-power-essence
73,COSRX,Low pH Good Morning Gel Cleanser,Limpeza,Todos os tipos,Oleosidade;Sensibilidade/Rosácea,Manhã,Extrato de Chá Verde,,150,,,,Sephora Brasil,Gel de limpeza de baixo pH para uso matinal.,https://placehold.co/400x400?text=low+ph+good+morning+gel+cleanser,https://www.sephora.com.br/gel-de-limpeza-facial-cosrx-low-ph-good-morning-cleanser-9090623795-9090623795.html,cosrx-low-ph-good-morning-gel-cleanser
74,COSRX,AHA/BHA Clarifying Treatment Toner,Tônico,Oleosa;Mista,Textura Irregular;Poros Dilatados,Noite,Ácido Salicílico,,150,,,,K-Beauty Brazil,Tônico esfoliante clarificador.,https://placehold.co/400x400?text=aha+bha+clarifying+treatment+toner,https://www.kbeautybrazil.com/products/cosrx-aha-bha-clarifying-treatment-toner-150ml-1,cosrx-aha-bha-clarifying-treatment-toner
